Category,Name,Stock,Price,Image URL,Description
Tractor,John Deere 5310,12,840000,https://www.deere.com/assets/images/tractors/john-deere-5310.png,John Deere 5310 is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor,Mahindra 575 DI XP Plus,15,710000,https://www.mahindratractor.com/images/575-di-xp.png,Mahindra 575 DI XP Plus is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor,Swaraj 744 FE,10,695000,https://www.swarajtractors.com/uploads/models/744fe.png,Swaraj 744 FE is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor,New Holland 3630 TX Super Plus,9,875000,https://www.newholland.com/in/images/3630tx.png,New Holland 3630 TX Super Plus is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor,Powertrac Euro 50,14,740000,https://www.powertrac.com/images/euro-50.png,Powertrac Euro 50 is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor,Eicher 380,18,600000,https://www.eichertractors.in/uploads/eicher380.png,Eicher 380 is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor,Sonalika DI 60,7,885000,https://www.sonalika.com/uploads/di60.png,Sonalika DI 60 is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor,Farmtrac 60 PowerMaxx,11,860000,https://www.farmtrac.com/images/powermaxx-60.png,Farmtrac 60 PowerMaxx is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor,Kubota MU4501,6,800000,https://www.kubota.com/tractors/mu4501.png,Kubota MU4501 is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor,Escorts Farmtrac Atom 26,5,495000,https://www.escortsgroup.com/images/atom26.png,Escorts Farmtrac Atom 26 is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor Attachments,Front Loader,16,10216,https://example.com/images/front_loader.png,Front Loader is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor Attachments,Backhoe Attachment,8,22280,https://example.com/images/backhoe_attachment.png,Backhoe Attachment is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor Attachments,Rotary Tiller Attachment,7,91649,https://example.com/images/rotary_tiller_attachment.png,Rotary Tiller Attachment is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor Attachments,Post Hole Digger,18,79301,https://example.com/images/post_hole_digger.png,Post Hole Digger is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor Attachments,Dozer Blade,13,114867,https://example.com/images/dozer_blade.png,Dozer Blade is a high-performance tractor suitable for farming and heavy-duty field work.
Tractor Attachments,Boom Sprayer,12,56279,https://example.com/images/boom_sprayer.png,Boom Sprayer is a high-performance tractor suitable for farming and heavy-duty field work.
