Country,Crop,Soil Type,Temperature,Season,Category
Afghanistan,Wheat,"Loamy, well-drained",15  to  25,Rabi,Cereal
Afghanistan,Barley,Sandy loam,13 to 25,Rabi,Cereal
Afghanistan,Maize,"Fertile, well-drained loam",18 to 27,Kharif,Cereal
Afghanistan,Rice,"Clay loam, water-retentive",20 to 35,Kharif,Cereal
Afghanistan,Millet,Light sandy loam,25 to 35,Kharif,Cereal
Afghanistan,Sorghum,Well-drained loamy,25 to 35,Kharif,Cereal
Afghanistan,Oats,"Loamy, cool regions",13 to 20,Rabi,Cereal
Afghanistan,Quinoa,"Sandy, alkaline",15 to 25,Rabi,Cereal
Afghanistan,Lentil,Sandy loam,15 to 25,Rabi,Pulse
Afghanistan,Chickpea,"Loamy, well-drained",15 to 30,Rabi,Pulse
Afghanistan,Mung Bean,Sandy loam,20 to 35,Zaid/Kharif,Pulse
Afghanistan,Pigeon Pea,"Loamy, well-drained",20 to 30,Kharif,Pulse
Afghanistan,Black Gram,"Alluvial, loamy",20 to 30,Kharif,Pulse
Afghanistan,Green Gram,Sandy loam,25 to 35,Zaid,Pulse
Afghanistan,Kidney Bean,Loamy soil,16 to 24,Rabi,Pulse
Afghanistan,Potato,Well-drained loamy,15 to 20,Rabi/Zaid,Vegetable
Afghanistan,Onion,Sandy loam,13 to 24,Rabi/Zaid,Vegetable
Afghanistan,Tomato,Well-drained loam,20 to 30,Kharif/Zaid,Vegetable
Afghanistan,Cabbage,Sandy to clay loam,15 to 25,Rabi,Vegetable
Afghanistan,Spinach,Sandy loam,13 to 22,Rabi,Vegetable
Afghanistan,Carrot,Deep sandy loam,16 to 20,Rabi,Vegetable
Afghanistan,Cauliflower,Sandy loam,15 to 20,Rabi,Vegetable
Afghanistan,Radish,Loamy soil,13 to 18,Rabi,Vegetable
Afghanistan,Brinjal,Sandy loam,20 to 30,Kharif,Vegetable
Afghanistan,Pumpkin,Loamy soil,25 to 30,Kharif,Vegetable
Afghanistan,Bitter Gourd,Sandy loam,24 to 30,Kharif,Vegetable
Afghanistan,Cucumber,"Loamy, fertile",22 to 30,Zaid,Vegetable
Afghanistan,Beetroot,Sandy loam,15 to 20,Rabi,Vegetable
Afghanistan,Pomegranate,Sandy loam,20 to 38,Kharif,Fruit
Afghanistan,Grapes,Well-drained loamy,15 to 30,Zaid,Fruit
Afghanistan,Apple,Loamy soil,13 to 24,Rabi/Zaid,Fruit
Afghanistan,Apricot,Loamy or sandy loam,15 to 25,Zaid,Fruit
Afghanistan,Watermelon,Sandy loam,25 to 35,Zaid,Fruit
Afghanistan,Melon,Sandy loam,25 to 35,Zaid,Fruit
Afghanistan,Cherry,Well-drained loam,15 to 25,Zaid,Fruit
Afghanistan,Plum,Loamy soil,15 to 25,Zaid,Fruit
Afghanistan,Peach,Sandy loam,15 to 30,Zaid,Fruit
Afghanistan,Pear,Loamy and clayey,13 to 20,Rabi,Fruit
Afghanistan,Fig,Sandy loam,20 to 30,Zaid,Fruit
Afghanistan,Mulberry,Loamy soil,20 to 30,Zaid,Fruit
Afghanistan,Almond,Well-drained sandy,15 to 30,Zaid,Dry Fruit
Afghanistan,Walnut,Loamy soil,13 to 25,Rabi,Dry Fruit
Afghanistan,Pistachio,Sandy loam,20 to 35,Zaid,Dry Fruit
Afghanistan,Pine Nut,Rocky loam,15 to 25,Zaid,Dry Fruit
Afghanistan,Hazelnut,"Loamy, slightly acidic",13 to 24,Rabi,Dry Fruit
Afghanistan,Cashew,Laterite or sandy,25 to 30,Kharif,Dry Fruit
Afghanistan,Sunflower,Loamy soil,20 to 25,Kharif,Oilseed
Afghanistan,Sesame,Sandy loam,25 to 35,Kharif,Oilseed
Afghanistan,Mustard,Well-drained loamy,13 to 25,Rabi,Oilseed
Afghanistan,Linseed,"Loamy, well-drained",15 to 25,Rabi,Oilseed
Afghanistan,Groundnut,Sandy loam,25 to 30,Kharif,Oilseed
Afghanistan,Castor,Sandy loam,20 to 30,Kharif,Oilseed
Afghanistan,Coriander,Sandy loam,20 to 25,Rabi,Spice
Afghanistan,Garlic,"Loamy, well-drained",13 to 24,Rabi,Spice
Afghanistan,Turmeric,Sandy loam,20 to 30,Kharif,Spice
